col_names,Date,FoodType,Treatment,GroupSize,,Group ID
Networks-10-26-1,10/26/2021,C,B,18,2020,1
Networks-10-28-1,10/28/2021,C,T,18,2020,1
Networks-11-1-1,11/1/2021,C,B,17,2020,1
Networks-11-12-1,11/12/2021,C,T,16,2020,1
Networks-11-16-1,11/16/2021,C,T,16,2020,1
Networks-11-19-1,11/19/2021,C,B,16,2020,1
Networks-11-22-1,11/22/2021,C,B,30,2020,2
Networks-11-30-1,11/30/2021,C,B,29,2020,3
Networks-11-6-1,11/6/2021,C,T,17,2020,1
Networks-11-8-1,11/8/2021,C,B,19,2020,1
Networks-1-18-1,1/18/2022,P,T,16,2021,3
Networks-1-21-1,1/21/2022,P,T,15,2021,3
Networks-12-27-1,12/27/2021,C,T,27,2021,3
Networks-12-31-1,12/31/2021,C,T,27,2021,3
Networks-12-5-1,12/5/2021,C,B,28,2021,3
Networks-1-26-1,1/26/2022,P,T,15,2021,4
Networks-12-9-1,12/9/2021,C,T,28,2021,3
Networks-2-23-1,2/23/2022,P,T,26,2021,5
Networks-2-8-1,2/8/2022,P,T,27,2021,6
Networks-2-9-1,2/9/2022,P,T,26,2021,7
Networks-3-4-1,3/4/2022,P,B,15,2021,5
Networks-4-25-1,4/25/2022,P,B,12,2021,8
Networks-5-27-1,5/27/2022,C,T,13,2021,9
Networks-5-31-1,5/31/2022,C,T,15,2021,10
Networks-6-1-1,6/1/2022,C,T,28,2021,11
Networks-6-1-2,6/1/2022,C,T,15,2021,12
Networks-6-13-1,6/13/2022,P,T,17,2021,13
Networks-6-13-2,6/13/2022,P,T,17,2021,14
Networks-6-14-1,6/14/2022,P,T,16,2021,15
Networks-6-14-2,6/14/2022,P,T,28,2021,16
Networks-6-17-1,6/17/2022,P,T,27,2021,17
Networks-6-2-1,6/2/2022,C,T,28,2021,18
Networks-6-21-1,6/21/2022,P,T,27,2021,19
Networks-6-21-2,6/21/2022,P,B,16,2021,20
Networks-6-21-3,6/21/2022,P,B,16,2021,19
Networks-6-22-1,6/22/2022,P,B,16,2021,21
Networks-6-22-2,6/22/2022,P,B,27,2021,19
Networks-6-24-1,6/24/2022,P,B,27,2021,19
Networks-6-24-2,6/24/2022,P,B,28,2021,20
Networks-6-3-1,6/3/2022,C,T,27,2021,21
Networks-6-6-1,6/6/2022,C,B,17,2021,22
Networks-6-6-2,6/6/2022,C,B,16,2021,23
Networks-6-7-1,6/7/2022,C,B,15,2021,24
Networks-6-7-2,6/7/2022,C,B,27,2021,25
Networks-6-8-1,6/8/2022,C,B,26,2021,26
Networks-6-9-1,6/9/2022,C,B,27,2021,27
