x,y,Distance
2518.31818181818,1730.68181818182,61.7111372671896
2509.59090909091,1791.77272727273,61.7111372671896
2090.68181818182,1708.86363636364,41.1664631217017
2125.59090909091,1730.68181818182,41.1664631217017
2169.22727272727,2834.68181818182,39.5144078755085
2208.5,2830.31818181818,39.5144078755085
3033.22727272727,1817.95454545455,46.3860908192053
3068.13636363636,1848.5,46.3860908192053
2836.86363636364,1966.31818181818,44.9263860697611
2858.68181818182,2005.59090909091,44.9263860697611
2876.13636363636,1918.31818181818,41.3970893694765
2889.22727272727,1957.59090909091,41.3970893694765
2208.5,2839.04545454545,35.1807610834846
2173.59090909091,2834.68181818182,35.1807610834846
2243.40909090909,1368.5,49.3689098137518
2278.31818181818,1333.59090909091,49.3689098137518
2169.22727272727,2839.04545454545,43.854002710346
2212.86363636364,2834.68181818182,43.854002710346
3434.68181818182,2468.13636363636,46.3860908192051
3399.77272727273,2498.68181818182,46.3860908192051
2239.04545454545,1372.86363636364,49.753109458871
2278.31818181818,1342.31818181818,49.753109458871
2954.68181818182,1237.59090909091,39.0295501527241
2919.77272727273,1255.04545454545,39.0295501527241
2164.86363636364,2843.40909090909,44.5005339368091
2208.5,2834.68181818182,44.5005339368091
2221.59090909091,2834.68181818182,52.363636363636
2169.22727272727,2834.68181818182,52.363636363636
